school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
31,76,山西,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科一批A段,理科,1,-,5000,,
31,111,山西,2022,城乡规划,本科(普通) (1),工学 (10),建筑类 (90),普通类,本科一批A段,理科,1,-,5000,,
31,116,山西,2022,信息管理与信息系统,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科一批A段,理科,1,-,5000,,
31,95877,山西,2022,国际政治,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科一批A段,理科,1,-,5000,,
31,95944,山西,2022,环境科学,本科(普通) (1),工学 (10),环境科学与工程类 (87),普通类,本科一批A段,理科,1,-,5000,,
31,176268,山西,2022,天文学,本科(普通) (1),理学 (9),天文学类 (54),普通类,本科一批A段,理科,1,-,5000,,
31,572227,山西,2022,经济学类,本科(普通) (1),经济学 (4),经济学类 (35),普通类,本科一批A段,理科,1,-,5000,,
31,572231,山西,2022,生物科学类,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科一批A段,理科,1,-,5300,,
31,572232,山西,2022,电子信息类,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,1,-,5300,,
31,572233,山西,2022,计算机类,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,1,-,5300,,
31,1042625,山西,2022,地质学类,本科(普通) (1),理学 (9),地质学类 (59),普通类,本科一批A段,理科,1,-,5000,,
31,1361880,山西,2022,工商管理类,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,理科,1,-,5000,,
31,1363369,山西,2022,理科试验班类,本科(普通) (1),,,普通类,本科一批A段,理科,1,-,5300,,
31,1363370,山西,2022,化学类,本科(普通) (1),理学 (9),化学类 (53),普通类,本科一批A段,理科,1,-,5000,,
31,1885909,山西,2022,公共管理类,本科(普通) (1),管理学 (13),公共管理类 (115),普通类,本科一批A段,理科,1,-,5000,,
31,1886097,山西,2022,工科试验班类,本科(普通) (1),,,普通类,本科一批A段,理科,1,-,5000,,
31,1886098,山西,2022,数学类,本科(普通) (1),理学 (9),数学类 (51),普通类,本科一批A段,理科,1,-,5000,,
31,1886099,山西,2022,物理学类,本科(普通) (1),理学 (9),物理学类 (52),普通类,本科一批A段,理科,1,-,5000,,
31,1886100,山西,2022,地球物理学类,本科(普通) (1),理学 (9),地球物理学类 (58),普通类,本科一批A段,理科,1,-,5000,,
31,1886101,山西,2022,心理学类,本科(普通) (1),理学 (9),心理学类 (61),普通类,本科一批A段,理科,1,-,5000,,
31,1886102,山西,2022,环境科学与工程类,本科(普通) (1),工学 (10),环境科学与工程类 (87),普通类,本科一批A段,理科,1,-,5000,,
31,76,山西,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,提前一批本科,文科,1,4,5000,（国家专项计划院校）,
